score,placement,city_Bangalore,city_Chennai,city_Delhi,city_Hyderabad,city_Kolkata,city_Mumbai,city_Pune
0.7696202531645568,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5254315304948214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.9113924050632909,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3189873417721516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.8430379746835441,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5254315304948214,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.10379746835443027,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2101265822784808,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.5873417721518988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6759493670886074,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.5254315304948214,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.35949367088607587,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
